plate,review_reason_code,customer_meaning,reviewer_comments,status
ARMY JP,2,I AM AN ARMY RETIRED OFFICER. JP IS SHORT FOR JEEP.,"jeep or jap, customer does own a jeep",Y
ARSNL9O,2,"SOCCER TEAM, ARSENAL FOOTBALL CLUB, AND THE YEAR I WAS BORN","WEAPONS, ALSO A SOCCER TEAM",N
AYYDEE 8,2,MY TRUCK IS A 1988. I WANT THE YEAR TO BE REPRESENTED ON THE PLATE,"88=HATE SYMBOL, CUSTOMER DOES HAVE A 1988 TRUCK",Y
BCHNBKE,3,BEACH AND BIKE,BITCHIN BIKE,N
BGD4X,2,BIG DAD 4 TIMES,BLACK GANGSTER DISCIPLES (GANG) BGD,N
BIGBU77,1,MY TRUNK,BIG BUTT,N
BLACK PS,2,BLACK PRIUS,"PIECE, PEACE? CUSTOMER DOES HAVE A 2016 TOYOTA",Y
BOSE DK,2,MY FAVORITE MOVIE,"""BHOSDI K"" HINDI TERM THAT BASICALLY MEANS: YOUR MOTHER IS A WHORE. I GOOGLED AND FOUND THIS MEANING BUT NO MOVIE",N
BR88KE,2,FIRST NAME,"88=HATE SYMBOL, NO 1988 CAR ON ANI",N
BS WLKS,3,BACHELORS OF SCIENCE DEGREE WELKS UNIVERSITY,"BS=BULLSHIT, I GOOGLED WELKS UNIVERSITY AND THERE IS A WILKES UNIVERSITY IN PA BUT NO WELKS COMES UP",N
BULLY U,2,SUPERIOR STRENGTH IN THE GYM,BULLY YOU,N
CAT4X4,1,"CATS, ALL WHEEL DRIVE CAR","CAT=PUSSY, NO CAT CAR ON ANI",Y
CHACH23,3,MY NICKNAME AND MY BIRTHDAY,"URBAN DICTIONARY SAYS CHACH OR CHOCH MEAN DOUCHEBAG, PENIS OR BITCHASS. BOTH CHACH AND CHOCH ARE MARKED UNACCEPTABLE",N
CHASE U,2,LAST NAME,"CHASE ISNT HER LAST NAME, PULLED FOR THE 'YOU'",N
C  MY  V,1,IT IS MY LIFE IN FRENCH,V=VAGINA.. MA VIE DOES MEAN 'MY LIFE' IN FRENCH,N
C  MY V2,1,IT IS MY LIFE IN FRENCH,SEE MY V. V=VAGINA.. MA VIE DOES MEAN 'MY LIFE' IN FRENCH,N
CP911MF,3,"MY AND MY PARTNERS INITIALS ON EITHER SIDE OF THE MODEL OF OUR CAR, A PORSCHE 911","HASA PORSCHE, PULLED FOR MF=MOTHERFUCKER",N
CRZY BYZ,2,OUR SON'S,CRAZY,N
C4LI818,2,NAME AND SOCCER NUMBER,818=AREA CODE FOR SAN FERNANDO VALLEY,N
DD CUP,1,THIS IS THE NAME OF D-CUP TEA HOUSE. IT IS THE BUBBLE TEA STORE,THE D CUP… BRA SIZE,N
DEADROC,2,NICKNAME,"PULLED FOR DEAD… A TAKE ON HIS LAST NAME ""LIVINGSTONE""",Y
DEB CAKE,1,MY NICKNAME,CAKE=A NICE ASS,N
DOTSKTY,1,"THIS IS FOR MY GRANDMA ""DOTS"" JAG THAT SHE OWNED BEFORE SHE PASSED.  SHE REFERRED TO IT AS ""THE KITTY"".","KITTY=PUSSY, HER NAME IS MELINDA AND NO CAT CAR ON ANI",N
D TRILZ,1,PUPPIES NAME,STAND ALONE D. NAME IS DANIELA,N
DUBZ7O7,2,GOLDEN STATE WARRIORS AND I LIVE IN THE 707,SANTA ROSA AREA CODE,N
EL GUITO,2,KIDS NICK NAME GIVIN BY HIS MOTHER,"GUIDO=US SLANG (derogatory, ethnic slur) for a lower class Italian-American or the clothing style associated with the stereotype",N
EL NAZI,2,FAMILY NAME,NAZI=HATE GROUP,N
ELTITYS,1,NICKNAME,TITTIES,N
ERC D RD,2,NAME OF A FAMOUS VIKING,"eric the red, RED=GANG COLOR",N
ET UFOS,3,INTERESTED IN SPACE EXPLORATION,"FOS=FULL OF SHIT, BUT COULD BE ""ET(EXTRA TERRESTRIAL) UFOs (unidentified flying objects) ET UFO is out and current",Y
E7OH22A,3,PERSONAL,ASSHOLE (backwards),N
FHLGATO,1,FHL IS MY DAD'S INITIALS FIRST NAME WAS FELIX SO HE SAID FELIX THE CAT WHICH IS WHAT GATO MEANS,GATO=CAT. FHL CAN MEAN FUCK HIS (HER) LIFE 45 UP 23 DOWN URBAN DICTIONARY. CUSTOMER'S LAST NAME DOES START WITH AN 'L' THOUGH,Y
FJAMZ,1,FAMILY INITIALS,URBAN DICTIONARY SAYS IT IS NORWEGIAN FOR PUSSY. I CONFIRMED ON A GOOGLE SEARCH.. SAID IT WAS SIMILAR TO 'FISSE' WHICH GOOGLE TRANSLATE CONFIRMS AS PUSSY IN DANISH,N
FKADELC,3,THE TRUE SPELLING IS FUNKADELIC. THEY WERE A HUGE FUNK/R&B BAND IN THE 70'S. THIS IS WONDERFUL MUSIC,PULLED BECAUSE IT LOOKS LIKE FUCK. ,N
FKN RHT,3,"ABBREVIATION FOR TOWN IN GERMANY; FRANKFURT RHINT, I WAS BORN THERE.",FUCKING RIGHT,N
FNAUTKL,3,FUN NAUTICAL,EFFIN,N
GGG MPH,7B,RELATIVE'S INITIALS,I THINK HE IS TRYING TO SAY 666MPH BUT OUR SYSTEM WONT LET HIM BECAUSE IT WOULD BE A 6 DIGIT AUTO PLATE. SO IS THIS SIMILAR PLATE OK?,Y
GI JEW,2,I AM A JEWISH MILITARY SERVICE MEMBER,Jew can be used offensively,N
GIVMENF,3,"""GIVE ME AN F"" PHINEAS AND FERB CARTOON SONG REFERENCE","F CAN MEAN FUCK, BUT THIS IS REALLY A SONG IN THIS CHILDRENS CARTOON",N
G RIDE1,2,GERARD'S RIDE. MY CAR/RIDE/WHIP/ VEHICAL. ITS MY FIRST CAR.,g=gangster,N
GR8T WT,2,GREAT WHITE,IT IS A BAND AND A SHARK AND A FEW SIMILAR PLATES ARE OUT THERE. QUESTIONING IT BECAUSE OF POSSIBLE RACIAL OVERTONES,N
GUNCHIK,2,THIS IS MY WIFES CAR AND WE OWN A GUN SHOP,GUN,N
GVNOFKZ,3,ITS A PERIODIC TABLE JOKE. PLAY ON ELEMENTS.,GIVE NO FUCKS,N
HEADRED,2,RED HEAD,RED=GANG COLOR,Y
HEIDEHO,2,MY NICKNAME,"her name is Heide, pulled for ho. Her nickname.",Y
HIGH1YF,7D,I HAVE A STRONG LOVE OF LIFE AND IM HIGH ON THE JOY,HIGH,Y
HLMNKE1,2,FAMILY JOKE HE LIKES MONKYS 1,HAUL MONKEY. AS IN HAUL ASS?,N
HTGAWM,2,WIFE'S FAVORITE TV SHOW,how to get away with murder,Y
HUEVOS2,2,HE UNDERSTANDS EVERYONE SACRED TOO,HUEVOS=BALLS. TESTICLES. 2.,N
H8PETRO,2,I HAVE AN ELECTRIC CAR AND HATE USING PETROLEUM,HATE GAS . ANI DOESN’T SHOW AN ELECTRIC CAR BUT PULLED FOR HATE,N
IJUS FYB,3,I JUST FORGOT YOU BUDDY,I JUST FUCKED YOUR BITCH,N
IN2B8EM,2,SHORT HAND FOR INTUBATE THEM (A MEDICAL PROCEDURE),some similar plates are out but is this ok?,N
JAYMFL,3,NAME OF MY BAND,JAY MOTHERFUCKING LANGE (CUSTOMER IS JAMIE LANGE),N
JCHAN88,2,JASMINE CHAN 88,"88=HATE SYMBOL, NO 1988 CAR ON ANI",N
JEDI OG,2,MY ORIGINAL CHILDHOOD NICKNAME.,OG=ORIGINAL GANGSTER,N
JPPANDA,2,MY CAR IS WHITE WITH BLACK INTERIOR IT LOOKS LIKE A PANDA AND MY NICK NAME IS JP,JP=JAP? NOT HIS INITIALS,N
JUISY,1,CHILDHOOD NAME GIVEN BY GRANDMOTHER.,JUICY CAN HAVE SEXUAL CONNOTATIONS,N
KING TRD,2,I HAVE A TRD TACOMA ON KING SUSPENSION.,"trd turd, Toyota Truck on ANI",Y
KRKGACS,7D,KENYON RUKEBA KATO GIAVONNI ARCENAUX CLARK SR,"CRACK, GACK. BOTH DRUG SLANG",N
LAJEFA2,2,THE SECOND BOSS,"JEFA, LIKE JEFE? GANG CHIEF",Y
LA JUICY,1,JUICY LOVE LA,JUICY CAN HAVE SEXUAL CONNOTATIONS,N
LBOMTAB,2,BATMOBILE BACKWARDS,BOMB FORWARDS THO,Y
LILPEEN,1,NICKNAME FOR CAR IS LITTLE PEANUT,PEEN=SHORT FOR PENIS,N
LMAOWUT,3,LAUGHING OUT LOUD AND ASKING WHAT,LMAO=LAUGH MY ASS OFF,N
LUV13,2,LOVE THIRTEEN,"13=gang number, no 2013 car on ani",N
LVEMYJS,7D,"MY SON'S NAMES, MY MOM'S NAME AND MY DECEASED BROTHER'S NAME ALL START WITH J'S","J=A JOINT, DRUG CONNOTATION",N
MCAISSE,2,"ABREVIATION FOR ""MA CAISSE"" WHICH IS FRENCH SLANG FOR MY CAR","WIKTIONARY DEFINITION OF CAISSE IN FRENCH... MEANINGS ARE: BOX, CASH REGISTER, FUND, BANK, (COLLOQUIAL) CAR, (VULGAR) FART…",Y
MFN R8RS,3,"MARIO,FRANK,NADIA RAIDERS",MOTHERFUCKING RAIDERS,N
MTFN2HV,3,MOUNTAIN FUN TO HAVE,MOTHERFUCKING  ?,N
MTNMNKY,1,MOUNTAIN MONKEY,MONKEY CAN HAVE SEXUAL CONNOTATIONS,N
MY BLK D,1,MY BLACK DENALI,"STAND ALONE D… DOES HAVE A 2017 GMC, BTM IS PC…",N
MYLUV88,2,MY LOVE FOR MY FAMILY,"88=HATE SYMBOL, NO 1988 CAR ON ANI",N
NALGON1,3,NICKNAME,"SPANISH SLANG FOR WIDE ASS, FROM NALGA=BUTTOCK",N
NEGGRTA,2,MY BLACK BEAUTY,NEGRITA MEANS LITTLE BLACK GIRL,N
NIMROD 5,2,NICKNAME,"SLANG FOR IDIOT OR JERK, A COUPLE SIMILAR ARE OUT ",Y
OHEYDER,2,A WARM WISCONSIN GREETING,OH HATER,N
OKDALBD,7D,OAKDALE BUD,BUD=MARIJUANA,N
OMWTFYW,1,ON MY WAY TO FIX YOUR WIFI,ON MY WAY TO FUCK YOUR WIFE,N
OWUPOS1,3,NICKNAME,OW YOU PIECE OF SHIT,N
PEWPEW3,2,NICKNAME,SOUND OF A LASER GUN FIRING,N
PIMMPN,2,SUPER NICE CADILLAC,PIMP,N
PRN1999,1,PRINCE ROGERS NELSON 1999,PRN=PORN? PRN IS PRINCE'S INITIALS AND 1999 HIS SONG,N
RAILGUN,2,NAME OF MY ROCK BAND,gun,N
RCEBALZ,1,I COOK RICE BALLS ITS AN ITALIAN DISH,BALLS,N
RED EE1,2,REANY TO GO,think they actually mean 'ready' to go… but with full space in middle 'red' stands out so pulled for gang color,Y
REDKNGT,2,RED KNIGHT INSTEAD OF DARK KNIGHT/BATMAN,RED=GANG COLOR,Y
RED SIX,2,"ITS A TESLA AND HAS WINGS, AND ITS A REFERENCE TO STAR WARS X WING",PULLED FOR  RED=GANG COLOR BUT RED SIX IS FROM STAR WARS. HE DOES HAVE A TESLA AND THEY DO HAVE 'WING' DOORS,Y
RONIN2K,2,21ST CENTURY RONIN,ronin is a roving mercenary samurai,Y
ROWDY5O,5,IT JUST SOUNDS COOL,"DOES HAVE A 2013 2D FORD, PULLED FOR 50 MEANING POLICE ",Y
R8ERHTR,2,RAIDERS HATER-NFL TRUE FAN,HATE  ,N
SENDNUD,2,SEND NACHOS UPON DELIVERY,"SEND NUDE, ASKING FOR NUDE PICS",N
SHAGG 44,1 AND 2,MY BASKETBALL NICKNAME IN RELATION TO THE SCOOBY DOO CHARACTER,shag=sex 44=gun,N
SHYT,3,NICKNAME,SHIT,N
SIC PUP,2,SICK PUPPY AS IN ONE WHO HAS A DARK SENSE OF HUMOR,DICTIONARY.COM SAYS SICK PUPPY=A PERVERTED OR SADISTIC PERSON,N
SIK7WFO,3,YEAR OF MY TRUCK AND CLUB NAME,WFO=WIDE FUCKING OPEN,N
SLATT 2,1,SLIME LOVE ALL THE TIME WITH MY FAVORITE NUMBER,SLUT?,N
SLAVE V,2,"SLAVE V WOULD BE THE NAME OF BOBA FETT'S (CHARACTER FROM THE STAR WARS MOVIES) FIFTH STARSHIP, HAD HE HAD A FIFTH. THE PREVIOUS SHIPS WERE NAMED SLAVE I, II, III, AND IV",PULLED FOR 'SLAVE'. A COUPLE ARE OUT AND A COUPLE ARE UNACCEPTABLE,N
SO13GIA,2,NA,13=gang number   ,N
SQURT 17,1,MY CAR'S NAME IS SQUIRT AND IT IS A 2017,squirt can have sexual connotations,N
STPDBIG,2,WE DRIVE A LARGE TRUCK AND MY WIFE CALLS IT STUPID BIG.,stupid,N
S1OW HO,1,ITS AN S10 PICKUP SO I PUT S10W,slow ho,N
TCO COMA,1,"TACOMA TRUCKS ARE CALLED TACOS. ALSO ONE OF MY FAVORITE FOODS. RIDICULOUS RIGHT? BUT FUNNY. TACO COMA LIKE, A FOOD COMA.","TACO, HAS A 2015 TOYT TRUCK",Y
THEUGLY,2,THE UGLY FROM THE GOOD THE BAD AND THE UGLY.,"UGLY, OK? ""UGLY"" RECENTLY WENT THRU AND ""UGLY ME"" IS OUT THERE...  ",Y
TPS1313,2,NICK NAME AND WEDDING ANNIVERSARY,13=gang number,N
UGH CHP,2,MEANS I GOT PULLED OVER BY CHP,DEROGATORY TOWARDS HIGHWAY PATROL,N
VADRH8R,2,STAR WARS REFERENCE,HATER,N
VB3 TOEY,1,MY INITIALS (VINCENT BIANCO 3RD) PLUS MY WIFE'S NICKNAME: 'TOEY' HER CHILDHOOD NICKNAME.,TOEY=SLANG MEANS NERVOUS OR HORNY,N
WT PUTOS,3,WAS UP,puto=son of a bitch (dictionary of obscenities),N
YOU THOT,2,"PEOPLE OFTEN MISTAKE MY CAR FOR A BMW M3, HOWEVER WHEN YOU GET CLOSER YOU WILL REALIZE IT IS ACTUALLY A BMW M3. HUMOROUS PLATE","thot=that ho over there. so, you ho",N
YUH MOM,2,"ITS JUST STATING THAT I AM YOUR MOM BASICALLY, ITS KIND OF HARD TO EXPLAIN, ITS SAYING THAT I AM A MOM","YOUR MOM, CONFRONTATIONAL WORDS. CALLING YOU OUT",N
YUH8GRN,2,WHY YOU HATE GREEN? (VEHICLE IS GREEN COLOR),HATE,N
YUMMEY,2,LOVE FOOD,"YUM AND YUMMIE ARE UNACCEPTABLE… IMPLIES EATING AND TASTINESS, COULD BE SEXUAL",N
ZEBBY,3,CAR NICKNAME - SHORT FOR ZEBRA,"URBAN DICTIONARY SAYS EGYPTIAN WORD, SAID MUCH... LITERALLY MEANS MY DICK BUT SLANG FOR FUCK IT OR WHATEVER 76 UP 26 DOWN",Y
ZROFUQS,3,DONT HAVE ANY CARES,ZERO FUCKS,N
1BADASB,3,ONE BAD AS A BEE,ONE BAD ASS BITCH,N
13C1O7X,2,HIGHLAND CAPTAIN OUT OF SERVICE,"13=gang, no 2013 car on ani",N
2DAMEND,2,2ND AMENDMENT OF THE CONSTITUTION,"2ND AMENDMENT, KEEP AND BEAR ARMS",N
2OO4TNT,2,WEDDING DATE,TNT=DYNAMITE,N
37KLO13,2,COMPANY I SERVED WITH IN USMC,13=GANG NUMBER,N
4RNRMFA,2 AND 3,4 RUNNER MAFIA (A GROUP OF COOL TOYOTA 4RUNNERS),MFA=MAFIA OR MOTHERFUCKER,N
47 SUCIO,1,SUCIO MEANS DIRTY IN ENGLISH,SUCIO=Spanish slang for one who's ill-moraled in a sexual nature. (URBAN DIC. 202 UP 65 DOWN),N
69PIOJO,1,BUSINESS VEHICLE PLATE,69 flea.. No 69 vehicle on ani,N
8RGNNA8,2,HATERS ARE GOING TO HATE,HATE…? ALSO 88,N
8 Z51 8,2,MODEL OF THE CAR,88=HATE SYMBOL,N
855PC,2,GIVES POLICE OFFICER AUTHORITY TO ARREST,"PENAL CODE, A PEACE OFFICER MAY USE REASONABLE FORCE TO ARREST SOMEONE WHO HAS COMMITTED A PUBLIC OFFENSE",Y
TAQUER$,1,TACO COOK,taco ,N
$YIFFY,1,I LOVE THE CUTE BARKS AND CHIRP SOUNDS ANIMALS MAKE.,YIFFY=SEXY OR HORNY (IN FURRY FANDOM),N
ZCAT,1,DATSUN Z CAR BELONGING TO CATAHAN.,"cat=pussy, catahan is last name",Y
LUVJP68,2,KIDS INITIALS,JAP?,N
B4DA551,3,BAD ASS ONE,BADASS,N
DARU2MV,2,DARE YOU TO MOVE,CONFRONTATIONAL,N
DHAKA G,2,DHAKA IS SURNAME OF PLATE OWNER. DHAKA G MEANS MS DHAKA,"G=GANGSTER, NOT LAST NAME INITIAL",N
F8TL HW,2,2013 SS CAMARO HOT WHEELS EDIION. COLOR IS CALLED FATAL AND HW IS FOR HOTWHEELS,PULLED FOR FATAL,N
HE NUTZ,2,FUN ,"NUTS, BALLS OR CRAZY",N
KTMFMLY,3,OUR FAMILY RIDES KTM MOTORCYCLES,"OR KT MOTHERFUCKING FAMILY, THIS IS AN AUTO PLATE",Y
KTY MEOW,1,"KITTY MEOW, I LOVE CATS",CAT=PUSSY,N
LMAO AF,3,LORD MY ALPHA OMEGA ALMIGHTY FATHER,LAUGH MY ASS OFF AS FUCK,N
MOEBLZR,7d,SHORT FOR MONIQUE BALZER,pulled for blaze=drug connotation. This is her name,N
RONS CAT,1,RONALD'S CADILLAC,CAT=PUSSY,Y
STROKM3,1,THE ENGINE IS A STROKER V8.,STROKE ME,N
TSERE88,2,TSE REAL ESTATE 88,"88=HATE SYMBOL, NO 1988 CAR ON ANI",N
UBTBAGD,1,I LOVE TEA.,"YOU BE TEA BAGGED, SEXUAL CONNOTATIONS",N
X T C 7,7D,THE X MEANS THERE IS NO OTHER LIKE IT. THE MODEL OF THE CAR IS TC AND 7 IS THE YEAR OF THE CAR.,"ECSTACY, DRUG CONNOTATION",N
BRSSBLS,2,"THE BIKE HAS PREDOMINANTLY BRASS HARDWARE ON IT IE SISSY BAR, AIR INTAKE, CARB TOP, HEADLIGHT ETC",brass balls,N
MYHIE2,7D,"REST IN PEACE ALKESH""AMMO""PATEL","HIGH-- HE DOES ALREADY HAVE ""MY HIE"" HIS MEANING WHEN HE ORDERED THAT WAS ""MY EXCITEMENT""",N
RIPAMMO,2,"REST IN PEACE ALKESH""AMMO""PATEL",AMMO=AMMUNITION,N
WTFRUON,3,IM ON A HARLEY DAVIDSON MOTORCYCLE USE YOUR IMAGINATION TO FIGURE OUT THE REST.,WHAT THE FUCK ARE YOU ON?,N
1PP TCH,1,ONE PERFECT PARTY TOUCH,PEEPEE(penis) TOUCH,N
CU BLUE,2,"TRIBUTE TO THE PACIFIC OCEAN, TO WHICH I SHALL RETURN!",BLUE=GANG COLOR,N
GOESDWN,1,"THE HEALTH OF OUR OCEANS HAVE DRASTICALLY GONE DOWN. HOWEVER, IT'S NOT TO LATE TO BETTER PROTECT AND PROVIDE A HEALTHIER FUTURE FOR OUR VULNERABLE WILDLIFE.","GOES DOWN, SEXUAL CONNOTATIONS",N
MAK NUT,1,PET NICKNAME,"MAKE NUT, SEXUAL CONNOTATIONS",N
AMBOOTY,1,MY DAUGHTERS NICK NAME THROUGH SCHOOL AND SOFTBALL. HER NAME IS AMBER AND SHE HAS A BOOTY,BOOTY,N
